country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
India,48,48,55,59,59,59,59,59,60,60,60,61,60,60,59,60,61,61,61,62,62,61,61,62,62,61,61,61,61,61,61,61,61,61,61,59,59,58,63,61,59,58,57,57
Indonesia,35,36,36,37,36,36,36,36,36,36,36,36,36,37,37,37,37,36,36,37,37,36,37,45,63,63,63,64,64,64,64,64,64,63,63,64,63,62,61,62,64,65,63,61
Iran,38,38,38,38,35,27,26,25,25,27,31,30,31,31,32,34,35,36,36,37,38,38,41,42,42,43,43,43,43,43,41,40,40,41,40,39,39,39,43,43,44,46,45,43
Iraq,31,31,31,32,30,26,26,26,26,26,26,27,26,26,27,26,26,25,26,26,26,26,26,26,26,26,26,26,40,45,45,45,45,45,45,44,44,43,41,40,40,41,41,44
Ireland,73,73,73,74,74,73,77,77,78,77,78,78,79,79,79,81,82,83,83,83,83,83,84,83,84,84,84,84,84,84,84,84,85,85,85,85,85,86,84,84,84,85,87,86
Israel,68,69,68,68,69,69,69,69,69,69,69,69,69,68,68,68,69,69,69,70,70,70,70,70,70,70,69,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,71,71
Italy,73,75,75,75,75,79,81,81,82,82,83,83,82,83,83,83,84,84,84,85,85,85,85,84,84,85,84,85,85,84,85,85,85,85,85,85,85,86,86,87,87,87,87,85
Jamaica,57,57,57,57,58,59,60,60,60,60,60,61,61,61,61,66,67,67,68,68,69,68,69,69,68,68,68,68,69,68,69,69,69,69,69,69,70,70,72,72,72,74,74,73
Japan,83,82,83,83,83,83,83,83,83,83,83,84,84,84,84,83,82,83,84,84,84,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,85,84,84,82,83,83,83
Jordan,42,42,42,42,42,46,46,46,46,45,46,46,46,47,48,51,51,51,52,52,52,52,51,51,52,51,52,52,52,52,52,53,53,53,53,54,54,54,55,55,55,57,57,59
Kazakhstan,,,,,,,,,,,,,,,,,59,58,61,61,60,60,60,60,60,60,60,55,55,55,54,54,54,54,54,54,53,54,56,56,55,56,56,50
Kenya,33,34,34,34,34,35,35,35,34,34,34,34,34,34,33,36,38,40,43,43,44,44,44,44,43,46,46,47,49,49,49,49,49,50,49,56,56,56,49,49,49,49,47,46
Kuwait,51,50,50,50,50,50,51,50,50,50,50,50,50,50,50,45,46,54,54,54,54,54,54,54,54,54,53,55,55,55,55,56,56,56,56,56,56,56,57,56,56,56,57,59
Kyrgyz Republic,,,,,,,,,,,,,,,,,55,57,57,55,55,54,54,54,54,52,52,51,51,51,50,51,51,51,50,54,56,55,58,58,58,59,58,61
Lao,26,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,29,29,27,27,27,27,27,27,27,28,28,28,28,28,28,28,28,29,28,29,29,29,30,30,29,29,30,32
Latvia,,,,,,,,,,,,,,,,,71,72,79,80,80,80,80,81,81,81,81,81,81,81,82,82,82,82,82,83,83,83,83,83,83,80,81,82
Lebanon,48,44,45,45,45,45,44,45,45,45,44,45,45,45,45,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,50,52,53,53,53,54,54,52,52,53,53,52,54,54
Lesotho,44,44,44,45,45,46,46,46,46,46,45,47,51,51,51,51,52,52,59,61,61,61,61,60,60,61,61,61,61,61,61,61,62,62,62,63,63,64,63,63,61,60,62,60
Liberia,36,37,37,37,36,32,31,32,31,32,32,33,33,33,33,30,41,41,41,41,41,36,31,32,32,32,31,32,33,58,63,64,65,64,64,64,64,65,63,63,63,63,65,64
Libya,29,29,29,29,29,28,29,29,28,29,29,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,31,31,31,30,30,30,35,45,42,39,40,40,38,39
Lithuania,,,,,,,,,,,,,,,,,73,74,73,74,73,74,75,75,76,75,80,80,81,82,82,82,83,82,83,83,83,83,83,82,82,80,80,79
Madagascar,36,36,37,37,37,37,37,37,37,37,38,38,39,39,40,41,42,47,48,49,49,48,48,48,48,48,48,47,49,49,49,49,52,52,47,47,47,47,48,48,49,51,51,51
Malawi,31,30,30,31,31,31,31,31,31,31,31,31,31,31,32,31,31,31,36,47,58,58,58,58,59,60,60,61,61,62,60,60,60,60,60,59,59,60,63,62,63,63,64,64
Malaysia,49,49,50,49,50,49,49,50,50,50,50,50,47,47,47,48,48,48,47,49,49,49,49,49,49,49,50,50,50,51,51,51,51,51,51,51,52,52,53,53,53,53,53,65
Mali,45,45,46,45,45,46,45,46,45,46,45,46,46,45,46,48,53,59,59,59,59,59,60,60,61,60,60,61,61,61,61,61,60,61,61,62,61,61,57,56,57,57,54,52
Mauritania,47,47,47,45,40,40,40,40,40,40,39,39,40,39,39,39,41,48,50,50,50,50,50,50,51,51,51,51,52,52,55,58,60,60,60,60,59,60,46,45,43,43,43,40
Mauritius,63,63,65,65,65,66,66,66,67,66,67,68,67,68,68,67,67,68,68,68,69,69,69,69,69,69,69,69,69,69,70,69,70,69,70,73,73,73,72,72,70,70,71,74
Mexico,43,43,44,44,44,44,45,45,45,45,46,45,45,46,46,47,46,47,47,49,50,50,50,50,50,54,54,54,55,53,54,54,53,53,53,54,54,54,53,53,53,53,53,55
Moldova,,,,,,,,,,,,,,,,,56,56,55,59,60,60,60,60,62,62,58,58,58,58,59,58,59,59,58,63,63,63,62,63,62,63,63,64
Mongolia,36,36,36,35,35,35,36,36,36,36,36,36,36,36,37,46,51,67,67,68,69,69,70,70,70,67,68,67,67,67,66,66,66,67,67,67,67,67,67,67,68,68,67,67
Morocco,38,39,38,38,38,46,46,45,45,45,47,46,47,47,48,48,50,51,51,51,51,51,52,52,53,58,59,60,60,60,60,60,60,60,60,60,60,61,61,61,63,63,63,63
Mozambique,35,37,37,37,37,37,37,38,37,37,37,38,37,37,37,48,52,53,54,55,57,57,57,57,58,56,58,57,58,58,58,58,58,57,56,56,56,54,59,59,59,59,59,59
Myanmar,22,22,22,22,22,22,23,22,22,23,23,22,23,25,24,25,25,25,26,26,26,26,25,25,25,25,25,26,26,26,25,26,26,26,26,35,40,42,43,44,49,49,50,49
Namibia,,,,,,,,,,,,,,,,61,66,66,67,67,67,67,67,67,67,69,69,69,70,71,70,71,70,70,71,72,71,71,72,72,72,72,68,69
Nepal,33,33,33,33,33,35,36,36,36,36,36,36,36,35,36,45,55,55,56,56,55,54,54,54,55,53,52,49,49,49,50,55,62,63,64,65,66,64,64,64,64,64,65,63
Netherlands,83,83,83,83,84,84,84,85,85,85,85,85,85,85,86,85,86,86,87,87,87,88,87,87,87,87,87,87,88,88,88,88,88,88,88,89,88,89,86,87,87,87,86,85
New Zealand,78,78,78,78,78,82,82,83,83,84,85,85,85,85,85,86,86,86,86,86,86,86,87,87,89,89,89,89,90,89,90,90,90,89,90,90,90,90,88,88,88,88,88,84
Nicaragua,23,23,22,22,25,45,45,41,41,46,41,41,41,45,47,54,56,56,60,61,60,60,60,59,59,58,59,59,59,59,59,58,55,55,54,55,55,55,55,55,55,54,52,34
Niger,42,42,42,42,42,42,42,42,42,42,41,42,42,45,47,57,59,58,60,59,60,58,57,58,59,63,63,63,63,64,64,64,64,64,63,67,67,66,69,69,69,69,67,67
Nigeria,44,44,44,45,47,47,48,48,48,44,45,46,46,46,46,47,46,45,45,45,43,43,43,46,54,55,54,54,55,54,55,55,55,55,55,55,55,54,58,58,58,60,62,62
North Korea,10,10,10,10,11,10,10,10,11,10,11,11,11,11,10,11,11,10,11,11,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,10,12,13,12,13,13,13
North Macedonia,,,,,,,,,,,,,,,,,55,55,56,57,57,57,58,59,58,58,58,64,66,67,67,66,66,64,63,63,62,62,59,59,59,58,62,61
Norway,88,88,88,89,89,94,94,94,94,94,94,95,95,94,95,96,96,96,97,97,97,97,96,96,96,97,97,97,97,98,98,98,97,97,98,98,98,98,96,94,94,94,93,93
Oman,41,43,43,44,43,44,43,44,44,44,44,44,45,44,44,45,45,46,46,46,46,47,48,48,49,49,50,50,50,50,50,50,50,50,50,51,52,52,52,52,52,52,50,54
Pakistan,42,41,41,38,36,35,35,35,35,35,37,38,37,40,42,41,41,41,42,42,42,42,43,44,42,43,43,44,45,51,51,51,50,50,52,52,53,52,47,47,46,45,46,46
Panama,38,38,38,39,39,38,39,36,36,37,37,36,36,36,37,58,60,60,61,61,61,61,61,61,61,62,62,62,62,68,68,68,68,68,68,68,67,67,67,68,68,68,67,66
