country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Guinea-Bissau,36,37,37,37,37,39,39,39,39,39,39,39,39,39,39,39,39,39,42,46,46,46,46,46,44,44,44,44,45,47,46,46,46,46,46,46,46,47,49,50,50,50,48,51
Haiti,28,28,28,28,29,29,29,29,31,32,32,30,35,36,36,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,47,47,47,49,46,46,40,40,40,40,40,41
Honduras,26,26,26,26,26,26,28,33,33,33,33,33,33,33,34,41,42,45,43,43,46,46,47,47,47,47,46,46,46,46,56,59,60,60,53,54,57,57,56,57,57,57,57,57
Hungary,50,50,50,50,50,50,50,50,50,50,50,50,50,50,56,65,65,65,65,66,66,66,64,63,63,63,63,67,67,67,67,66,67,67,67,61,61,61,67,70,67,70,70,58
India,39,39,40,40,40,43,43,44,45,51,51,51,51,51,43,43,49,50,50,52,54,48,48,52,54,54,55,53,53,51,51,51,52,52,55,52,52,50,50,49,50,50,50,52
Indonesia,28,28,32,32,32,32,32,30,30,30,30,30,35,35,35,35,35,35,35,35,35,35,36,46,51,51,51,54,54,59,54,54,54,54,52,54,54,55,51,51,53,53,53,52
Iran,26,26,26,26,20,15,15,16,16,18,16,16,16,19,18,18,18,22,18,19,19,23,28,30,30,34,30,30,30,30,29,28,28,31,29,28,28,30,41,41,41,46,31,39
Iraq,16,16,18,18,18,23,23,23,23,25,25,25,25,25,25,25,24,19,19,19,19,18,18,19,19,19,19,19,36,40,43,43,43,43,43,40,40,40,42,39,39,38,39,39
Ireland,34,35,39,39,39,41,47,47,49,49,51,51,51,51,51,56,56,60,60,63,63,63,65,65,65,65,65,63,63,63,63,64,66,66,66,66,64,71,68,68,70,75,75,75
Israel,58,58,56,57,57,57,57,57,57,57,57,57,57,58,58,58,58,60,60,61,61,60,60,60,61,61,62,62,63,63,63,63,63,63,64,64,64,64,65,65,66,66,65,66
Italy,46,51,51,51,49,50,50,50,53,53,53,53,53,53,53,53,61,61,62,65,65,64,64,64,64,64,65,65,65,65,65,67,67,69,69,69,69,69,77,77,77,77,79,62
Jamaica,58,60,60,60,61,66,66,66,66,66,67,67,67,67,65,71,72,72,73,73,73,73,75,75,76,76,76,74,74,74,74,79,79,79,79,79,80,80,83,83,83,88,85,85
Japan,42,42,42,42,42,42,42,42,42,42,42,47,47,47,48,51,51,51,51,51,52,51,51,51,51,54,55,55,56,56,56,56,56,56,55,55,55,56,57,58,56,56,58,57
Jordan,14,14,14,14,14,21,21,21,21,22,22,22,22,25,33,33,33,33,36,36,36,36,33,33,33,34,34,35,40,40,40,40,41,41,41,41,42,42,42,42,42,45,43,43
Kazakhstan,,,,,,,,,,,,,,,,,53,53,53,53,54,54,55,55,55,55,55,55,55,55,55,55,57,57,56,57,56,58,57,57,57,60,58,61
Kenya,26,26,26,26,26,26,29,29,27,27,27,27,27,27,27,30,30,39,40,40,40,40,40,40,40,42,41,42,42,42,42,42,45,46,46,49,50,50,52,52,52,53,47,46
Kuwait,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,24,28,28,30,34,34,34,34,33,33,33,32,32,36
Kyrgyz Republic,,,,,,,,,,,,,,,,,44,44,44,45,48,48,48,48,48,49,49,49,49,49,46,47,53,53,54,55,54,54,55,55,52,57,62,57
Lao,25,35,35,35,35,35,35,35,35,35,35,35,35,35,36,36,36,38,38,38,38,38,41,41,41,41,41,41,41,42,42,44,44,44,44,44,44,44,45,45,45,45,51,49
Latvia,,,,,,,,,,,,,,,,,59,65,67,67,66,66,66,72,72,72,72,72,75,77,77,77,77,77,78,77,79,79,78,76,76,80,78,78
Lebanon,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,28,28,29,29,29,29,29,29,29,29,29,29,29,36,39,39,39,38,38,38,38,39,39,39,39,39,41
Lesotho,47,47,47,47,47,50,50,50,50,50,46,46,47,48,49,50,50,52,52,52,52,52,52,53,53,53,53,56,56,56,56,56,60,60,60,60,60,63,72,72,71,71,67,65
Liberia,27,27,27,27,27,42,42,42,42,42,42,42,42,42,42,45,45,45,45,45,45,45,48,48,48,50,50,50,50,56,69,74,74,74,74,72,71,71,71,71,72,72,65,63
Libya,19,19,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,21,23,23,23,23,23,25,36,40,37,39,39,36,35
Lithuania,,,,,,,,,,,,,,,,,58,58,58,58,58,63,65,65,65,63,63,63,63,71,71,71,71,70,71,72,72,73,73,73,73,73,77,77
Madagascar,36,43,47,47,47,48,48,47,47,47,47,47,47,47,49,49,49,49,50,51,51,49,49,51,51,51,51,52,52,53,53,53,56,61,61,62,62,63,64,64,64,64,57,57
Malawi,15,15,15,18,18,18,18,18,18,18,18,18,19,19,19,19,19,17,24,33,40,41,41,41,43,51,51,51,51,52,54,54,54,54,56,56,57,57,58,54,53,52,52,52
Malaysia,42,43,43,43,43,43,43,43,43,44,44,44,44,44,44,45,45,45,45,45,46,46,46,46,47,48,48,48,48,47,47,47,48,50,49,50,50,50,50,50,50,50,50,55
Mali,38,38,38,38,38,38,38,38,38,38,38,38,38,37,37,37,43,47,47,47,47,47,53,54,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,53,54,52
Mauritania,35,35,35,36,27,26,26,26,26,26,26,26,26,26,26,26,26,29,32,32,32,32,32,32,32,32,34,34,34,34,37,42,42,42,42,42,42,42,49,50,50,50,42,45
Mauritius,31,33,33,33,33,41,41,43,44,44,44,44,44,44,44,44,42,42,42,42,46,46,46,46,46,44,44,44,44,44,48,48,48,48,48,48,48,48,56,55,56,56,57,64
Mexico,30,30,31,31,34,34,34,35,35,35,38,38,38,39,39,39,38,38,38,46,49,49,49,49,49,49,51,51,52,52,52,52,54,54,54,56,56,55,54,54,54,54,52,57
Moldova,,,,,,,,,,,,,,,,,48,48,48,49,49,49,49,51,51,51,56,56,56,57,65,65,65,65,62,61,61,61,61,67,64,64,64,64
Mongolia,51,51,51,51,51,51,51,51,51,51,51,53,53,53,53,46,50,53,53,57,57,60,60,60,60,60,61,61,61,60,60,60,60,60,60,60,60,62,63,63,70,68,67,63
Morocco,17,21,15,15,15,17,17,17,17,17,18,18,18,18,18,18,19,19,21,21,21,21,21,25,27,33,35,45,45,45,45,45,44,45,45,45,47,47,45,45,50,50,51,51
Mozambique,26,33,38,38,38,38,38,38,38,38,38,39,39,39,39,46,44,44,47,50,56,56,56,56,59,56,56,56,56,56,56,56,56,56,57,57,57,57,54,54,54,63,61,61
Myanmar,14,14,14,15,15,15,15,15,15,15,15,15,15,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,31,41,42,46,46,46,55,55,53,55
Namibia,,,,,,,,,,,,,,,,46,46,46,46,49,49,49,49,49,50,53,53,53,53,56,56,56,56,56,57,58,58,58,63,65,65,65,66,60
Nepal,26,26,27,27,27,28,31,32,32,32,32,29,29,29,29,35,45,45,45,45,45,45,45,45,46,50,50,50,50,50,50,51,55,58,58,58,57,57,67,65,65,66,71,68
Netherlands,56,56,57,58,58,60,61,70,70,70,70,69,69,69,72,74,74,74,78,82,82,82,82,81,81,81,81,78,89,89,89,89,89,89,89,88,88,91,87,87,87,87,83,77
New Zealand,51,53,53,53,53,53,55,55,55,61,61,61,62,62,62,67,68,68,68,68,68,70,70,76,86,94,94,91,91,91,95,95,97,94,94,94,94,94,90,90,90,90,94,94
Nicaragua,24,24,24,24,31,48,48,48,48,51,51,51,51,51,52,57,57,57,59,60,58,60,60,54,55,55,60,60,60,61,61,61,62,63,64,64,63,63,67,67,67,67,63,59
Niger,32,32,32,32,32,32,32,32,33,33,33,33,33,37,37,41,41,41,45,45,43,43,43,43,43,43,43,43,43,47,47,47,47,47,47,54,54,52,51,51,52,53,54,54
Nigeria,30,30,30,30,30,30,30,30,38,38,41,41,43,43,43,43,43,35,35,35,35,35,35,38,43,43,43,43,45,45,46,45,45,45,45,52,52,53,52,52,48,48,47,46
North Korea,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,34,39,39,39,39,39,39
North Macedonia,,,,,,,,,,,,,,,,,36,36,37,40,40,40,42,45,40,41,41,52,53,58,58,60,60,58,58,58,61,61,60,57,57,59,57,56
Norway,78,78,81,81,81,81,81,81,81,81,84,84,84,84,87,93,94,94,97,97,97,97,94,94,94,94,94,94,95,98,98,98,95,95,98,100,100,100,94,94,94,94,94,92
Oman,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,26,26,26,26,26,27,27,29,27,27,27,26,26,26,26,27,27,27,27,27,27,30,30
Pakistan,28,28,30,30,32,32,33,33,34,34,41,41,41,45,46,33,33,33,33,33,33,33,42,42,45,47,49,49,46,46,46,46,46,49,50,52,52,52,51,51,49,48,46,48
Panama,35,35,35,39,39,38,36,32,32,35,35,35,35,35,35,54,54,54,54,54,54,54,54,54,55,58,58,58,58,59,59,59,59,59,58,58,58,58,60,65,65,65,60,60
Papua New Guinea,28,28,33,33,33,33,33,32,32,32,32,32,30,30,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,33,33,33,33,33,33,33,32,29,29,26,26
Paraguay,14,14,14,13,13,13,13,13,11,11,11,11,11,13,15,29,29,30,32,32,32,32,32,40,40,47,47,47,49,50,50,50,50,52,52,52,52,52,53,54,54,53,53,52
Peru,29,29,29,29,29,36,38,38,38,38,38,39,39,39,39,46,49,49,49,50,50,50,50,50,50,54,54,54,54,55,59,66,66,66,66,66,63,63,61,61,59,61,63,64
Philippines,47,47,47,46,46,46,46,46,46,46,46,63,66,66,66,66,67,67,67,67,67,67,67,68,68,69,70,70,70,70,70,70,70,70,70,71,72,72,68,68,73,75,67,68
Poland,50,50,50,50,50,53,53,51,51,51,52,52,52,52,58,67,66,66,68,68,68,68,70,70,70,70,71,71,71,71,71,71,74,73,73,74,75,76,76,79,81,79,73,70
